uniprot_id,full_hit_id,evalue,bitscore,domain_start,domain_end,query_start,query_end
Q90WA0,sp|Q90WA0|VKT2_PSETT,1.9e-25,93.6,29,82,0,53
Q90W98,sp|Q90W98|VKT4_PSETT,1.6e-22,84.2,29,82,0,53
B7S4N9,sp|B7S4N9|VKT_OXYSC,1.7e-22,84.2,29,81,0,52
P81547,sp|P81547|VKT1_ANTAF,1.7e-22,84.1,6,57,1,52
Q7LZS8,sp|Q7LZS8|VKTRE_DENAN,1.8e-22,84.1,5,57,0,52
P0DMJ6,sp|P0DMJ6|VKT12_DENAN,1.8e-22,84.1,5,57,0,52
Q6T6T5,sp|Q6T6T5|VKT1_BITGA,1.8e-22,84.0,29,81,0,52
C0HLB2,sp|C0HLB2|VKT_PSEPC,1.9e-22,84.0,5,57,0,52
Q9TWF8,sp|Q9TWF8|VKT3_ANESU,2e-22,83.9,4,55,1,52
P0C1X2,sp|P0C1X2|VKTS1_CONST,2.3e-22,83.7,31,83,0,52
Q29100,sp|Q29100|UPTI_PIG,2.3e-22,83.7,36,88,0,52
P0DMJ2,sp|P0DMJ2|VKT3C_ACTEQ,2.6e-22,83.5,6,57,1,52
A0A6P8HC43,sp|A0A6P8HC43|ATPI1_ACTTE,2.6e-22,83.5,159,211,0,52
B5L5M7,sp|B5L5M7|IVBI_AUSSU,2.7e-22,83.5,29,81,0,52
P24541,sp|P24541|VKT_ERIMA,3.1e-22,83.3,0,52,0,52
Q2ES47,sp|Q2ES47|VKT4_DABRR,3.5e-22,83.1,29,81,0,52
Q7LZE3,sp|Q7LZE3|VKTHE_DENAN,3.7e-22,83.1,5,57,0,52
P00984,sp|P00984|VKTE_DENPO,3.7e-22,83.1,5,57,0,52
A8Y7N9,sp|A8Y7N9|VKTC6_DABSI,3.8e-22,83.0,29,81,0,52
Q2ES46,sp|Q2ES46|VKT5_DABRR,3.8e-22,83.0,29,81,0,52
P0DN17,sp|P0DN17|VKTD_ANEVI,3.8e-22,83.0,20,71,1,52
Q90W99,sp|Q90W99|VKT3_PSETT,4e-22,82.9,29,82,0,53
P0DN20,sp|P0DN20|VKTG_ANEVI,4.3e-22,82.8,18,69,1,52
O43278,sp|O43278|SPIT1_HUMAN,4.7e-22,82.7,248,301,0,53
P0DN10,sp|P0DN10|VKT6_ANEVI,4.9e-22,82.6,20,71,1,52
Q6T6S5,sp|Q6T6S5|VKT2_BITGA,6.3e-22,82.3,29,81,0,52
P0DN13,sp|P0DN13|VKT9_ANEVI,6.4e-22,82.3,20,71,1,52
P0DN19,sp|P0DN19|VKTF_ANEVI,7.2e-22,82.1,10,61,1,52
Q95241,sp|Q95241|A4_SAISC,7.6e-22,82.0,289,341,0,52
F8J2F3,sp|F8J2F3|VKT28_DRYCN,7.8e-22,82.0,29,82,0,53
P05067,sp|P05067|A4_HUMAN,7.9e-22,82.0,289,341,0,52
P53601,sp|P53601|A4_MACFA,7.9e-22,82.0,289,341,0,52
Q5IS80,sp|Q5IS80|A4_PANTR,7.9e-22,82.0,289,341,0,52
P79307,sp|P79307|A4_PIG,7.9e-22,82.0,289,341,0,52
P08592,sp|P08592|A4_RAT,7.9e-22,82.0,289,341,0,52
P86733,sp|P86733|KCP_HALAI,9.3e-22,81.8,68,121,0,53
B5KF96,sp|B5KF96|VKT2_CRYNI,1.1e-21,81.6,29,82,0,53
B5L5R7,sp|B5L5R7|VKT2_HOPST,1.1e-21,81.6,29,82,0,53
P0DMJ4,sp|P0DMJ4|VKTI3_ANTFU,1.1e-21,81.6,4,56,1,53
Q6ITB0,sp|Q6ITB0|VKT1_TROCA,1.2e-21,81.4,29,82,0,53
Q6ITB1,sp|Q6ITB1|VKT_PSEPO,1.2e-21,81.4,29,82,0,53
P12023,sp|P12023|A4_MOUSE,1.3e-21,81.3,289,341,0,52
P0DN14,sp|P0DN14|VKTA_ANEVI,1.3e-21,81.3,20,71,1,52
P0DV05,sp|P0DV05|VKT2O_RADCR,1.3e-21,81.3,2,55,0,53
C0HJU7,sp|C0HJU7|VKT2G_RADCR,1.4e-21,81.2,2,55,0,53
C0HK72,sp|C0HK72|3API_HETMG,1.4e-21,81.2,2,55,0,53
C0HLA5,sp|C0HLA5|MAMB2_DENVI,1.6e-21,81.0,3,55,0,52
Q60495,sp|Q60495|A4_CAVPO,1.9e-21,80.8,289,341,0,52
C0HLA7,sp|C0HLA7|MAMB4_DENVI,2.1e-21,80.7,3,55,0,52
P86862,sp|P86862|VKT1_ANTEL,2.1e-21,80.6,3,55,0,52
B5KL36,sp|B5KL36|VKT5_CRYNI,2.1e-21,80.6,29,82,0,53
C1IC52,sp|C1IC52|VKT2_WALAE,2.1e-21,80.6,27,79,0,52
B5KF95,sp|B5KF95|VKT1_CRYNI,2.1e-21,80.6,29,82,0,53
B5L5R0,sp|B5L5R0|IVBI4_PSEPO,2.2e-21,80.5,29,82,0,53
B5G6G6,sp|B5G6G6|VKT2_PSEPO,2.2e-21,80.5,29,82,0,53
B5KL39,sp|B5KL39|VKT2_AUSSU,2.2e-21,80.5,29,82,0,53
A0A6P8HC43,sp|A0A6P8HC43|ATPI1_ACTTE,2.3e-21,80.5,229,281,0,52
P0DN07,sp|P0DN07|VKT4_ANEVI,2.3e-21,80.5,20,71,1,52
C0HMC7,sp|C0HMC7|KUN_HAEDO,2.5e-21,80.4,19,71,0,52
P00976,sp|P00976|IBPC_BOVIN,2.6e-21,80.3,6,58,0,52
C0HLA6,sp|C0HLA6|MAMB3_DENPO,2.6e-21,80.3,3,55,0,52
B6RLX2,sp|B6RLX2|VKTCT_OPHHA,2.9e-21,80.2,29,81,0,52
P00994,sp|P00994|ISIK_HELPO,3e-21,80.1,5,57,0,52
B5KL40,sp|B5KL40|VKT3_AUSSU,3.1e-21,80.1,29,82,0,53
P0DV04,sp|P0DV04|VKT2N_RADCR,3.1e-21,80.1,2,55,0,53
B5KL37,sp|B5KL37|VKT6_CRYNI,3.8e-21,79.8,29,82,0,53
C1IC51,sp|C1IC51|VKT3_WALAE,3.8e-21,79.8,27,79,0,52
P00991,sp|P00991|VKT1_VIPAA,4.2e-21,79.7,29,81,0,52
P0DQQ9,sp|P0DQQ9|VKT1_PALCA,4.4e-21,79.6,0,51,1,52
F8J2F5,sp|F8J2F5|VKT87_DRYCN,4.4e-21,79.6,29,82,0,53
P12111,sp|P12111|CO6A3_HUMAN,4.5e-21,79.6,3110,3163,0,53
B5KL35,sp|B5KL35|VKT4_CRYNI,4.5e-21,79.6,29,82,0,53
A0A1Z0YU59,sp|A0A1Z0YU59|MAMB1_DENAN,4.6e-21,79.5,3,55,0,52
B6ZIW0,sp|B6ZIW0|KUN_HAELO,4.6e-21,79.6,19,71,0,52
C0HK74,sp|C0HK74|3CPI_HETMG,4.7e-21,79.5,2,55,0,53
P00986,sp|P00986|VKT2_NAJNI,4.7e-21,79.5,3,55,0,52
P0DJ50,sp|P0DJ50|VKT31_OLIMR,5.3e-21,79.3,25,76,1,52
Q9WU03,sp|Q9WU03|SPIT2_MOUSE,5.6e-21,79.3,37,89,1,53
P81902,sp|P81902|CSTI_BOMMO,5.6e-21,79.3,3,54,1,52
P0DKL8,sp|P0DKL8|VKT_VIPRE,5.7e-21,79.2,5,57,0,52
P0DJ46,sp|P0DJ46|VKT21_LYCMC,6e-21,79.2,24,76,1,53
P04365,sp|P04365|IATR_HORSE,7.3e-21,78.9,6,58,1,53
Q6ITC0,sp|Q6ITC0|VKT2_PSEAU,9.9e-21,78.5,29,82,0,53
A6MFL4,sp|A6MFL4|VKT4_DEMVE,1e-20,78.4,29,82,0,53
Q7YRQ8,sp|Q7YRQ8|TFPI2_BOVIN,1.1e-20,78.4,34,86,0,52
C1IC53,sp|C1IC53|VKT4_WALAE,1.3e-20,78.1,29,81,0,52
A0A6B7FA07,sp|A0A6B7FA07|VKT2J_RADCR,1.3e-20,78.1,18,71,0,53
C0HLA8,sp|C0HLA8|MAMB5_DENJA,1.3e-20,78.1,3,55,0,52
A7X3V4,sp|A7X3V4|VKT1_TELDH,1.4e-20,78.0,29,81,0,52
C0HK73,sp|C0HK73|3BPI_HETMG,1.4e-20,78.0,2,55,0,53
P0DMJ5,sp|P0DMJ5|VKT2E_RADCR,1.5e-20,77.9,24,77,0,53
F6ULY1,sp|F6ULY1|WFC6B_MOUSE,1.5e-20,77.9,86,138,0,52
A0A6P8HC43,sp|A0A6P8HC43|ATPI1_ACTTE,1.6e-20,77.8,89,141,0,52
C0HJU6,sp|C0HJU6|VKT2F_RADCR,1.8e-20,77.6,2,55,0,53
A0A6B7FEJ3,sp|A0A6B7FEJ3|VKT2K_RADCR,1.8e-20,77.7,18,71,0,53
B5KL38,sp|B5KL38|VKT1_AUSSU,1.8e-20,77.6,29,82,0,53
Q8WPI3,sp|Q8WPI3|KUNIG_RHIMP,1.9e-20,77.6,19,71,0,52
B2KTG1,sp|B2KTG1|VKT_BUNFA,2e-20,77.5,29,81,0,52
P0DN18,sp|P0DN18|VKTE_ANEVI,2.1e-20,77.4,20,71,1,52
P0DMJ3,sp|P0DMJ3|VKTI1_ANTFU,2.2e-20,77.4,4,56,1,53
A6MFL3,sp|A6MFL3|VKT3_DEMVE,2.4e-20,77.2,29,82,0,53
P00985,sp|P00985|VKT2_HEMHA,2.4e-20,77.3,3,55,0,52
P26228,sp|P26228|SBPI_SARBU,2.4e-20,77.2,5,56,1,52
A6MGY1,sp|A6MGY1|VKT7_DEMVE,2.4e-20,77.2,29,82,0,53
Q8WPI2,sp|Q8WPI2|KUNIH_RHIMP,2.4e-20,77.2,19,71,0,52
Q6T269,sp|Q6T269|VKT3_BITGA,2.4e-20,77.3,16,68,0,52
P02760,sp|P02760|AMBP_HUMAN,2.5e-20,77.2,230,282,1,53
A0A3G2FQK2,sp|A0A3G2FQK2|3DPD_HETMG,2.5e-20,77.2,18,71,0,53
P0DJ45,sp|P0DJ45|VKT22_LYCMC,2.5e-20,77.2,24,76,1,53
C0HLA9,sp|C0HLA9|MAMB6_DENVI,2.5e-20,77.2,3,55,0,52
C0HJF4,sp|C0HJF4|VKT2C_RADCR,2.6e-20,77.1,2,55,0,53
A0A6B7FBD3,sp|A0A6B7FBD3|VKT2I_RADCR,2.7e-20,77.1,31,84,0,53
C0HJF3,sp|C0HJF3|VKT2D_RADCR,2.8e-20,77.0,2,55,0,53
P81129,sp|P81129|VKT2_STIHL,2.8e-20,77.0,1,54,0,53
P0DV03,sp|P0DV03|VKT2M_RADCR,3e-20,77.0,2,55,0,53
B5KL33,sp|B5KL33|VKT2_TROCA,3e-20,76.9,29,82,0,53
Q6ITB3,sp|Q6ITB3|VKT1_NOTSC,3e-20,76.9,29,82,0,53
Q9R097,sp|Q9R097|SPIT1_MOUSE,3.2e-20,76.8,242,295,0,53
A5X2X1,sp|A5X2X1|VKT_SISCA,3.3e-20,76.8,29,81,0,52
C8YJ94,sp|C8YJ94|KUN2_TABYA,3.4e-20,76.7,23,76,0,53
P0C8W3,sp|P0C8W3|VKT11_HOFGE,3.5e-20,76.7,28,80,1,53
P0DJ48,sp|P0DJ48|VKT23_LYCMC,3.7e-20,76.6,3,55,1,53
P25660,sp|P25660|VKT9_BUNFA,3.8e-20,76.6,5,58,0,53
A6MFL1,sp|A6MFL1|VKT1_DEMVE,3.8e-20,76.6,29,82,0,53
A8Y7N6,sp|A8Y7N6|VKTC3_DABSI,3.8e-20,76.6,29,82,0,53
P31713,sp|P31713|VKT1_STIHL,4.1e-20,76.5,1,54,0,53
O35536,sp|O35536|TFPI2_MOUSE,4.1e-20,76.5,34,86,0,52
B5M0W4,sp|B5M0W4|SV66_SIMVI,4.5e-20,76.4,22,75,0,53
A8Y7N4,sp|A8Y7N4|VKTC1_DABSI,4.7e-20,76.3,29,81,0,52
A8Y7N8,sp|A8Y7N8|VKTC5_DABSI,4.7e-20,76.3,29,81,0,52
A8Y7N7,sp|A8Y7N7|VKTC4_DABSI,4.7e-20,76.3,29,82,0,53
H6VC05,sp|H6VC05|VKTK1_DABRR,4.7e-20,76.3,29,81,0,52
W4VSH9,sp|W4VSH9|VKT1_TRILK,4.8e-20,76.3,104,157,0,53
B5L5R4,sp|B5L5R4|IVBI4_NOTSC,4.8e-20,76.3,29,82,0,53
P00992,sp|P00992|VKT3_VIPAA,4.8e-20,76.3,29,81,0,52
F8J2F4,sp|F8J2F4|VKT16_DRYCN,5.6e-20,76.1,29,82,0,53
P0DL86,sp|P0DL86|VKT2H_RADCR,5.7e-20,76.1,2,55,0,53
B5L5Q8,sp|B5L5Q8|VKT5_PSEAU,5.9e-20,76.0,29,82,0,53
E7FL12,sp|E7FL12|VKT2_PSERS,5.9e-20,76.0,29,82,0,53
Q9GP15,sp|Q9GP15|IRCPI_IXORI,6e-20,76.0,30,82,1,53
B5L5R1,sp|B5L5R1|IVBI5_PSEPO,6e-20,76.0,29,82,0,53
E7FL13,sp|E7FL13|VKT3_PSERS,6.3e-20,75.9,29,82,0,53
P00990,sp|P00990|VKT2_DABSI,7.3e-20,75.7,5,57,0,52
Q9BDL1,sp|Q9BDL1|EPPI_MACMU,8.1e-20,75.6,75,128,0,53
E7FL11,sp|E7FL11|VKT1_PSERS,8.2e-20,75.5,29,82,0,53
B5KL34,sp|B5KL34|VKT3_CRYNI,8.5e-20,75.5,29,82,0,53
A8Y7P3,sp|A8Y7P3|VKTB3_DABSI,9.2e-20,75.4,29,81,0,52
H6VC06,sp|H6VC06|VKTK2_DABRR,9.5e-20,75.3,29,81,0,52
A6MGX9,sp|A6MGX9|VKT5_DEMVE,9.6e-20,75.3,29,82,0,53
Q90W96,sp|Q90W96|VKT6_PSETT,9.7e-20,75.3,29,82,0,53
P00982,sp|P00982|VKTHD_DENAN,1e-19,75.2,3,55,0,52
P0DV06,sp|P0DV06|VKT2P_RADCR,1e-19,75.2,2,55,0,53
O62845,sp|O62845|ELAC_NOTEU,1.1e-19,75.1,21,74,0,53
P84875,sp|P84875|PCPI_SABMA,1.2e-19,75.1,2,54,0,52
A8Y7N5,sp|A8Y7N5|VKTC2_DABSI,1.2e-19,75.0,29,81,0,52
P20229,sp|P20229|VKTTI_NAJNA,1.2e-19,75.0,3,55,0,52
E5AJX3,sp|E5AJX3|VKT_VIPNI,1.2e-19,75.0,29,81,0,52
P62757,sp|P62757|IATR_SHEEP,1.3e-19,74.9,4,56,1,53
B2G331,sp|B2G331|VKT2B_RADCR,1.3e-19,74.9,24,77,0,53
P62756,sp|P62756|IATR_CAPHI,1.3e-19,74.9,4,56,1,53
P04366,sp|P04366|AMBP_PIG,1.4e-19,74.8,215,267,1,53
A8Y7P6,sp|A8Y7P6|VKTB6_DABSI,1.4e-19,74.8,29,81,0,52
Q2ES50,sp|Q2ES50|VKT1_DABRR,1.4e-19,74.8,29,81,0,52
A8Y7P0,sp|A8Y7P0|VKTB7_DABSI,1.4e-19,74.8,29,81,0,52
B5KF94,sp|B5KF94|VKT1_HOPST,1.4e-19,74.8,29,82,0,53
B5KL30,sp|B5KL30|VKT4_OXYSC,1.5e-19,74.7,29,82,0,53
C8YJ95,sp|C8YJ95|KUN3_TABYA,1.5e-19,74.7,23,76,0,53
P00978,sp|P00978|AMBP_BOVIN,1.6e-19,74.6,230,282,1,53
O95925,sp|O95925|EPPI_HUMAN,1.7e-19,74.5,75,128,0,53
B5KL32,sp|B5KL32|VKT3_NOTSC,1.7e-19,74.5,29,82,0,53
Q6T269,sp|Q6T269|VKT3_BITGA,1.7e-19,74.5,70,122,0,52
Q08E66,sp|Q08E66|WFKN2_BOVIN,1.7e-19,74.5,382,434,0,52
Q6ITB8,sp|Q6ITB8|VKT4_PSEAU,1.8e-19,74.4,29,82,0,53
Q6ITC1,sp|Q6ITC1|VKTH1_PSEAU,1.8e-19,74.4,29,82,0,53
D5J9Q8,sp|D5J9Q8|VKT5_BUNFL,1.9e-19,74.4,29,81,0,52
D4A2Z2,sp|D4A2Z2|EPPI_RAT,2e-19,74.3,75,127,0,52
A8Y7P4,sp|A8Y7P4|VKTB4_DABSI,2.4e-19,74.0,29,81,0,52
Q2ES48,sp|Q2ES48|VKT3_DABRR,2.5e-19,74.0,29,82,0,53
P84875,sp|P84875|PCPI_SABMA,2.5e-19,74.0,55,106,1,52
B1B5I8,sp|B1B5I8|VKT3_STIHA,2.7e-19,73.9,25,77,0,52
Q29428,sp|Q29428|TKDP1_SHEEP,2.7e-19,73.9,206,258,0,52
Q02445,sp|Q02445|TFPI1_RAT,2.8e-19,73.8,51,103,0,52
B5KL41,sp|B5KL41|VKT4_AUSSU,2.9e-19,73.8,29,82,0,53
B5KL27,sp|B5KL27|VKT3_OXYMI,3e-19,73.7,29,82,0,53
P00981,sp|P00981|VKTHK_DENPO,3e-19,73.7,25,77,0,52
C1IBY4,sp|C1IBY4|KUN1_TABYA,3.1e-19,73.7,23,76,0,53
B5KL29,sp|B5KL29|VKT3_OXYSC,3.2e-19,73.6,29,82,0,53
Q8WPI2,sp|Q8WPI2|KUNIH_RHIMP,3.5e-19,73.5,88,140,1,53
Q60559,sp|Q60559|AMBP_MESAU,3.5e-19,73.5,229,281,1,53
A8Y7P2,sp|A8Y7P2|VKTB2_DABSI,3.5e-19,73.5,29,81,0,52
P81162,sp|P81162|CRPTI_RHIMP,3.6e-19,73.5,7,59,1,53
P86733,sp|P86733|KCP_HALAI,3.6e-19,73.5,12,64,0,52
B2BS84,sp|B2BS84|VKT_AUSLA,3.7e-19,73.5,26,77,1,52
P15943,sp|P15943|APLP2_RAT,4.1e-19,73.3,310,363,0,53
Q06481,sp|Q06481|APLP2_HUMAN,4.1e-19,73.3,308,361,0,53
A6MFL2,sp|A6MFL2|VKT2_DEMVE,4.2e-19,73.3,29,82,0,53
P0DN15,sp|P0DN15|VKTB_ANEVI,4.7e-19,73.1,20,71,1,52
A8Y7P1,sp|A8Y7P1|VKTB1_DABSI,4.8e-19,73.1,29,81,0,52
Q6ITB2,sp|Q6ITB2|VKT2_NOTSC,4.8e-19,73.1,29,82,0,53
P0DMX0,sp|P0DMX0|VKT3_ANTAF,4.8e-19,73.1,5,57,0,52
Q3UW55,sp|Q3UW55|WFC6A_MOUSE,4.8e-19,73.1,75,127,0,52
Q8WPI3,sp|Q8WPI3|KUNIG_RHIMP,5.3e-19,72.9,88,140,1,53
B4ESA3,sp|B4ESA3|VKT2L_BUNMU,5.7e-19,72.8,29,82,0,53
B5KL31,sp|B5KL31|VKT3_PSEPO,5.7e-19,72.8,29,82,0,53
Q62577,sp|Q62577|AMBP_MERUN,5.8e-19,72.8,229,281,1,53
A8Y7P5,sp|A8Y7P5|VKTB5_DABSI,5.9e-19,72.8,29,81,0,52
P0CY85,sp|P0CY85|VKTB1_CONBU,7.3e-19,72.5,31,83,0,52
P84875,sp|P84875|PCPI_SABMA,7.5e-19,72.5,113,165,0,52
P0DQR1,sp|P0DQR1|VKT3_PALCA,8.2e-19,72.3,0,51,1,52
P0DJ49,sp|P0DJ49|VKT24_OLIMR,8.4e-19,72.3,3,55,1,53
O54819,sp|O54819|TFPI1_MOUSE,1e-18,72.0,48,100,0,52
Q7TQN3,sp|Q7TQN3|WFKN2_MOUSE,1.1e-18,71.9,379,431,0,52
Q07456,sp|Q07456|AMBP_MOUSE,1.1e-18,72.0,229,281,1,53
P81548,sp|P81548|VKT2_ANTAF,1.1e-18,72.0,3,55,0,52
Q28201,sp|Q28201|TKDP1_BOVIN,1.2e-18,71.8,292,344,0,52
A7X3V7,sp|A7X3V7|VKT1_PHIOL,1.5e-18,71.5,38,89,1,52
P15989,sp|P15989|CO6A3_CHICK,1.6e-18,71.4,3070,3122,0,52
Q8AY43,sp|Q8AY43|VKTA_BUNCA,1.7e-18,71.3,29,82,0,53
I2G9B4,sp|I2G9B4|VKT_MACLN,1.8e-18,71.2,29,81,0,52
Q8AY41,sp|Q8AY41|VKTC_BUNCA,1.9e-18,71.2,29,82,0,53
Q964Q0,sp|Q964Q0|IXOSP_IXOSC,1.9e-18,71.1,100,152,1,53
O93279,sp|O93279|A4_TAKRU,2.1e-18,71.0,288,340,0,52
Q9WU03,sp|Q9WU03|SPIT2_MOUSE,2.2e-18,71.0,131,183,0,52
Q02445,sp|Q02445|TFPI1_RAT,2.3e-18,70.9,221,273,1,53
F8J2F6,sp|F8J2F6|VKT18_DRYCN,2.7e-18,70.7,29,82,0,53
P82968,sp|P82968|MCPI_MELCP,3.1e-18,70.5,143,194,1,52
B5KL28,sp|B5KL28|VKT4_OXYMI,3.1e-18,70.5,29,82,0,53
P48307,sp|P48307|TFPI2_HUMAN,3.1e-18,70.5,34,86,0,52
P0DN16,sp|P0DN16|VKTC_ANEVI,3.6e-18,70.3,20,71,1,52
Q4KUS1,sp|Q4KUS1|WFDC8_MOUSE,3.8e-18,70.2,126,177,1,52
B4ESA4,sp|B4ESA4|VKT3L_BUNMU,3.9e-18,70.2,29,82,0,53
Q64240,sp|Q64240|AMBP_RAT,4.1e-18,70.1,229,281,1,53
P16044,sp|P16044|IBPI_TACTR,4.5e-18,70.0,7,58,1,52
B2BS84,sp|B2BS84|VKT_AUSLA,5.5e-18,69.7,116,168,0,52
Q8TEU8,sp|Q8TEU8|WFKN2_HUMAN,5.5e-18,69.7,385,436,1,52
P19761,sp|P19761|TFPI1_RABIT,5.7e-18,69.6,48,101,0,53
Q90W97,sp|Q90W97|VKT5_PSETT,6.1e-18,69.5,29,82,0,53
P83606,sp|P83606|BMTI6_RHIMP,6.3e-18,69.5,137,189,0,52
P82966,sp|P82966|VKTCI_OPHHA,7.7e-18,69.2,29,81,0,52
P00980,sp|P00980|VKTHA_DENAN,8.1e-18,69.2,5,57,0,52
P83606,sp|P83606|BMTI6_RHIMP,9e-18,69.0,5,57,0,52
Q02445,sp|Q02445|TFPI1_RAT,1.1e-17,68.7,122,174,0,52
O54819,sp|O54819|TFPI1_MOUSE,1.1e-17,68.7,224,275,1,52
F5GTK6,sp|F5GTK6|VKGUA_SIMGU,1.2e-17,68.6,22,74,0,52
Q5ZPJ7,sp|Q5ZPJ7|VKT_NAJAT,1.2e-17,68.6,27,79,0,52
O43291,sp|O43291|SPIT2_HUMAN,1.3e-17,68.5,131,183,0,52
Q9DA01,sp|Q9DA01|EPPI_MOUSE,1.3e-17,68.5,75,127,0,52
B5L5Q1,sp|B5L5Q1|VKT7_PSETT,1.3e-17,68.5,29,82,0,53
P49223,sp|P49223|SPIT3_HUMAN,1.6e-17,68.2,34,86,0,52
Q8AY42,sp|Q8AY42|VKTB_BUNCA,1.8e-17,68.0,29,81,0,52
O76840,sp|O76840|PPN1_CAEEL,1.9e-17,68.0,1851,1904,0,53
P0DQR0,sp|P0DQR0|VKT2_PALCA,2e-17,67.9,0,51,1,52
A0A6P8HC43,sp|A0A6P8HC43|ATPI1_ACTTE,2e-17,67.9,27,78,1,52
Q29143,sp|Q29143|ELAC_TRIVU,2.1e-17,67.8,41,94,0,53
H2A0N9,sp|H2A0N9|KCP4_PINMG,2.3e-17,67.7,145,196,1,52
B6ZIW0,sp|B6ZIW0|KUN_HAELO,2.5e-17,67.6,88,139,1,52
D8KY58,sp|D8KY58|VKT_BOMTE,2.8e-17,67.4,29,80,1,52
Q28864,sp|Q28864|TFPI1_MACMU,3.1e-17,67.3,52,104,0,52
O43278,sp|O43278|SPIT1_HUMAN,3.6e-17,67.1,390,442,1,53
Q96NZ8,sp|Q96NZ8|WFKN1_HUMAN,3.9e-17,67.0,358,409,1,52
C8YJ96,sp|C8YJ96|KUN4_TABYA,4.1e-17,66.9,23,76,0,53
P10646,sp|P10646|TFPI1_HUMAN,4.3e-17,66.8,216,268,1,53
Q6NUX0,sp|Q6NUX0|WFKN_DANRE,4.4e-17,66.8,369,421,0,52
P00979,sp|P00979|VKTH1_DENPO,4.5e-17,66.8,5,57,0,52
Q28864,sp|Q28864|TFPI1_MACMU,4.6e-17,66.7,123,175,0,52
O54819,sp|O54819|TFPI1_MOUSE,4.6e-17,66.7,119,171,0,52
Q28864,sp|Q28864|TFPI1_MACMU,4.7e-17,66.7,216,268,1,53
W4VSH9,sp|W4VSH9|VKT1_TRILK,4.8e-17,66.7,27,78,1,52
P00983,sp|P00983|MAMB7_DENPO,5.1e-17,66.6,4,55,1,52
P10646,sp|P10646|TFPI1_HUMAN,6.2e-17,66.3,52,104,0,52
Q5VJG2,sp|Q5VJG2|KUNI_AMBHE,6.8e-17,66.2,20,72,0,52
P0DJ47,sp|P0DJ47|VKT12_OLIMR,7.3e-17,66.1,6,58,1,53
P19761,sp|P19761|TFPI1_RABIT,7.5e-17,66.1,119,171,0,52
P83609,sp|P83609|BMTIA_RHIMP,8.3e-17,65.9,69,121,1,53
H2A0M2,sp|H2A0M2|KCP1_PINMG,8.7e-17,65.9,71,122,1,52
P83606,sp|P83606|BMTI6_RHIMP,8.8e-17,65.8,233,285,0,52
Q8R0S6,sp|Q8R0S6|WFKN1_MOUSE,1e-16,65.6,361,413,0,52
P26227,sp|P26227|HTIB_MANSE,1.1e-16,65.5,2,52,0,50
B5L5R6,sp|B5L5R6|IVBI3_HOPST,1.1e-16,65.5,29,81,0,53
P10646,sp|P10646|TFPI1_HUMAN,1.1e-16,65.5,123,175,0,52
C8YJ97,sp|C8YJ97|KUN5_TABYA,1.2e-16,65.4,23,76,0,53
P36992,sp|P36992|AMBP_PLEPL,1.2e-16,65.4,235,287,1,53
D2Y489,sp|D2Y489|VKT1B_CONCL,1.5e-16,65.1,5,58,0,53
